round,labeled_size,mIoU,f1,selection_expected,selection_selected,selection_source,avg_uncertainty,avg_knowledge_gain,lambda_t,lambda_controller,lambda_controller_mode,miou_delta,rollback_flag,experiment
15,1383,0.7608106015943349,0.8454038412090468,,,,,,,,,0.002413666987459706,False,full_model_default_thresholds
1,239,0.6193141494502058,0.7005929454385569,88.0,88.0,agent,,,,,,,False,full_model_fixed_epochs_lambda_budget
2,327,0.6916789985055488,0.7816798990558389,88.0,88.0,agent,,,,,,0.07236484905534302,False,full_model_fixed_epochs_lambda_budget
3,415,0.7224764323435546,0.8114616074308081,88.0,88.0,agent,,,,,,0.030797433838005817,False,full_model_fixed_epochs_lambda_budget
4,503,0.7371423800103079,0.8249337726819603,88.0,88.0,agent,,,,,,0.01466594766675322,False,full_model_fixed_epochs_lambda_budget
5,591,0.7370921402534354,0.8247668568356179,88.0,88.0,agent,,,,,,-5.023975687246107e-05,False,full_model_fixed_epochs_lambda_budget
6,679,0.7326727752402058,0.8213705293765474,88.0,88.0,agent,,,,,,-0.0044193650132295925,False,full_model_fixed_epochs_lambda_budget
7,767,0.75014599926549,0.83618702144629,88.0,88.0,agent,,,,,,0.017473224025284173,False,full_model_fixed_epochs_lambda_budget
8,855,0.7545874574761787,0.8400513098262141,88.0,88.0,agent,,,,,,0.0044414582106887535,False,full_model_fixed_epochs_lambda_budget
9,943,0.7428779562427573,0.8298443191851688,88.0,88.0,agent,,,,,,-0.011709501233421404,False,full_model_fixed_epochs_lambda_budget
10,1031,0.7574719470402769,0.8425058986214431,88.0,88.0,agent,,,,,,0.014593990797519552,False,full_model_fixed_epochs_lambda_budget
11,1119,0.7631415261511271,0.8474562763172986,88.0,88.0,agent,,,,,,0.005669579110850198,False,full_model_fixed_epochs_lambda_budget
12,1207,0.7556950870244283,0.8409443262253637,88.0,88.0,agent,,,,,,-0.007446439126698734,False,full_model_fixed_epochs_lambda_budget
13,1295,0.7625775903260958,0.8471389232009598,88.0,88.0,agent,,,,,,0.0068825033016675086,False,full_model_fixed_epochs_lambda_budget
14,1383,0.7657181293222737,0.8494743379007155,88.0,88.0,agent,,,,,,0.003140538996177833,False,full_model_fixed_epochs_lambda_budget
15,1383,0.7615096805387185,0.8458573159931432,,,,,,,,,-0.0042084487835551965,False,full_model_fixed_epochs_lambda_budget
1,239,0.6110579687010977,0.6912108221998298,88.0,88.0,agent,,,,,,,False,full_model_policy_lambda
2,327,0.6972786212597061,0.7874600585210405,88.0,88.0,agent,,,,,,0.08622065255860833,False,full_model_policy_lambda
3,415,0.7106429796781133,0.8002799307410902,88.0,88.0,agent,,,,,,0.013364358418407218,False,full_model_policy_lambda
4,503,0.7355077166844032,0.8237629724822964,88.0,88.0,agent,,,,,,0.024864737006289883,False,full_model_policy_lambda
5,591,0.7375158585624464,0.8252643246098164,88.0,88.0,agent,,,,,,0.0020081418780432125,False,full_model_policy_lambda
6,679,0.7452276857137132,0.8322108635410149,88.0,88.0,agent,,,,,,0.007711827151266837,False,full_model_policy_lambda
7,767,0.7489045570271817,0.8350979690135338,88.0,88.0,agent,,,,,,0.0036768713134684994,False,full_model_policy_lambda
8,855,0.7419456353105541,0.8291130219647029,88.0,88.0,agent,,,,,,-0.006958921716627597,False,full_model_policy_lambda
9,943,0.7543087060237166,0.8399179134653442,88.0,88.0,agent,,,,,,0.01236307071316245,False,full_model_policy_lambda
10,1031,0.7591734934444536,0.843942276046467,88.0,88.0,agent,,,,,,0.004864787420737038,False,full_model_policy_lambda
