round,labeled_size,miou_round,f1_round,epochs_observed,experiment
12,1119,0.7592803328708777,0.8440644905308963,10,no_cold_start
13,1207,0.7640670914644537,0.8480233360293135,10,no_cold_start
14,1295,0.7564714144360953,0.8416910005836268,10,no_cold_start
15,1383,0.764199010348316,0.8481304607447245,10,no_cold_start
1,151,0.632984866075626,0.7172163091269624,10,no_normalization
2,239,0.7008873364916588,0.7912318048244626,10,no_normalization
3,327,0.7115901494004202,0.8013811428258046,10,no_normalization
4,415,0.7339743630294719,0.8222599213840838,10,no_normalization
5,503,0.7430787405038841,0.8301792763405793,10,no_normalization
6,591,0.7504749074417741,0.8366894745359221,10,no_normalization
7,679,0.7472605762296485,0.8336972758363415,10,no_normalization
8,767,0.7518352632097158,0.8380745441299406,10,no_normalization
9,855,0.7513225058444594,0.8377406807430117,10,no_normalization
10,943,0.7527805421429505,0.8384498337986162,10,no_normalization
11,1031,0.7616702956981369,0.8461326670872531,10,no_normalization
12,1119,0.7510575144288053,0.8373201826574623,10,no_normalization
13,1207,0.7630694860417628,0.8472163738453439,10,no_normalization
14,1295,0.761355770945978,0.845922975546974,10,no_normalization
15,1383,0.7569216498369306,0.842018603952726,10,no_normalization
1,151,0.6211902252908014,0.7029457326865123,10,random_lambda
2,239,0.6942676708312153,0.7843420520333794,10,random_lambda
3,327,0.7299099427706875,0.818436219011409,10,random_lambda
4,415,0.7297923418656621,0.818526554964758,10,random_lambda
5,503,0.7312623136273189,0.8195181918678901,10,random_lambda
6,591,0.7356862037831355,0.8235162816999749,10,random_lambda
7,679,0.7474264977995329,0.8341121066475035,10,random_lambda
8,767,0.7556786030761549,0.841224681472591,10,random_lambda
9,855,0.7565582697799368,0.8418200523249961,10,random_lambda
10,943,0.7556903539427429,0.8410263137396269,10,random_lambda
11,1031,0.7620803950593685,0.8466500349540405,10,random_lambda
12,1119,0.7627499277707235,0.8471488775677638,10,random_lambda
13,1207,0.7546992747164403,0.8401142948286685,10,random_lambda
14,1295,0.7538118087071116,0.8395194525750465,10,random_lambda
15,1383,0.7567529590770139,0.8420101538459643,10,random_lambda
1,151,0.6092095995155525,0.6878306298924629,10,rule_based_controller_r1
2,239,0.7099996150383417,0.7999307432303283,10,rule_based_controller_r1
3,327,0.7097755763656254,0.7996796217326416,10,rule_based_controller_r1
4,415,0.7275293004607024,0.8162559977350361,10,rule_based_controller_r1
5,503,0.7372503250357829,0.825062632030131,10,rule_based_controller_r1
6,591,0.7349238248344963,0.8228713820923264,10,rule_based_controller_r1
7,679,0.7512412414402743,0.8372734852559296,10,rule_based_controller_r1
8,767,0.7558132324522284,0.8411011625016086,10,rule_based_controller_r1
9,855,0.7521995805529771,0.8380596751133943,10,rule_based_controller_r1
10,943,0.7480751802441773,0.8343850319016921,10,rule_based_controller_r1
11,1031,0.7614238228672103,0.8459508630485092,10,rule_based_controller_r1
12,1119,0.7594527307955039,0.8443033374666569,10,rule_based_controller_r1
13,1207,0.7507856384472791,0.8366874361662109,10,rule_based_controller_r1
14,1295,0.7513908036068073,0.8376180444922638,10,rule_based_controller_r1
15,1383,0.7627291456121477,0.8469452545636043,10,rule_based_controller_r1
1,151,0.5933730437520865,0.6666345433621805,10,rule_based_controller_r2
2,239,0.703269362149195,0.7932305457826507,10,rule_based_controller_r2
3,327,0.7142315363230438,0.8040595259863472,10,rule_based_controller_r2
4,415,0.7298075330961696,0.8184251267712581,10,rule_based_controller_r2
5,503,0.7454565630229042,0.8324355680087967,10,rule_based_controller_r2
6,591,0.7480884739127605,0.8345148038077803,10,rule_based_controller_r2
7,679,0.7355337804474703,0.8235172789731504,10,rule_based_controller_r2
8,767,0.7521889852051653,0.8382440198153007,10,rule_based_controller_r2
9,855,0.7406534725473803,0.8280638381451779,10,rule_based_controller_r2
10,943,0.7517131459993431,0.8376839384153962,10,rule_based_controller_r2
11,1031,0.7529304333866362,0.8388516939958698,10,rule_based_controller_r2
12,1119,0.7599849078041773,0.8447613455648348,10,rule_based_controller_r2
13,1207,0.75558788404623,0.840861802774558,10,rule_based_controller_r2
14,1295,0.7477729132528106,0.8341283328929204,10,rule_based_controller_r2
15,1383,0.7581603941480306,0.8434899200199497,10,rule_based_controller_r2
1,151,0.635782730857909,0.721202899741108,10,rule_based_controller_r3
2,239,0.7025691897954319,0.7937438416328839,10,rule_based_controller_r3
3,327,0.6988392987458789,0.7888297277279408,10,rule_based_controller_r3
4,415,0.7271146031093854,0.8157044274542308,10,rule_based_controller_r3
5,503,0.7435304642456075,0.8305898346354736,10,rule_based_controller_r3
6,591,0.7415501458424117,0.8286295972953545,10,rule_based_controller_r3
7,679,0.7507487854719839,0.8368741441242483,10,rule_based_controller_r3
8,767,0.7526607089285442,0.8384069940646779,10,rule_based_controller_r3
9,855,0.758045024498039,0.843095411022818,10,rule_based_controller_r3
10,943,0.7616604433545764,0.8460183427766896,10,rule_based_controller_r3
11,1031,0.7568779219175497,0.8420709619768937,10,rule_based_controller_r3
12,1119,0.7560277411143824,0.8413299771408398,10,rule_based_controller_r3
13,1207,0.7511374948094931,0.8370240760996537,10,rule_based_controller_r3
14,1295,0.7527645250072865,0.838446274521607,10,rule_based_controller_r3
15,1383,0.7546724047012953,0.8404553630807773,10,rule_based_controller_r3
1,151,0.6046101352457187,0.682590782456361,10,uncertainty_only
2,239,0.6776519706524039,0.7679700198931103,10,uncertainty_only
