round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
11,2,1031,0.11346012684389775,0.6885272302004894,0.7784327679577799,0.6769187147282076,0.689704630585146,0.2910605712843178,1.0526316218163279,no_normalization
11,3,1031,0.09950667345744163,0.6893661110483476,0.7792057442025812,-0.2981469771657257,0.6306192353867659,0.3838319236552902,0.8237232921090791,no_normalization
11,4,1031,0.09179267445977791,0.7185239681768063,0.8077823277346223,0.02631205059531224,0.4202060192471878,0.15654762719926443,0.6760556323663681,no_normalization
11,5,1031,0.09078436008571186,0.7102340552747707,0.7997997601371221,-0.5854799545321975,0.3407960966599558,0.3554578793046895,0.7208859904186982,no_normalization
11,6,1031,0.08515204142068843,0.755003253862209,0.8406445647733716,-0.21534811943553142,0.38637632513984477,0.05909462655740348,0.5892692972666288,no_normalization
11,7,1031,0.08068373708728455,0.7508540605804213,0.8367925179701675,-0.637186042496336,0.3399646550189681,-0.2579393651199394,0.5248384204058149,no_normalization
11,8,1031,0.07783286739503131,0.7519634696649888,0.8377338081151461,0.5514283576383272,0.12273293159103298,-0.3068600280053486,0.5028428364596433,no_normalization
11,9,1031,0.07276038984960155,0.7540159599077927,0.839464988008093,-0.8340486784901319,0.519795617707712,0.5818093280170215,0.4396526398059303,no_normalization
11,10,1031,0.07222972619655299,0.7602968270551576,0.844921723549587,-0.04865396876161329,0.8825884852432166,0.734781269365526,0.45587509183960495,no_normalization
12,1,1119,0.19877854884204899,0.6568330509180437,0.7446179995943046,0.8199892939303195,0.9935230454930104,0.9861182280547149,2.246183639094959,no_normalization
12,2,1119,0.10993990654586464,0.7026303812110206,0.7924920046061601,0.7180618596901117,0.676127105285061,0.4054423446247101,1.0397451466103809,no_normalization
12,3,1119,0.09617029848812302,0.6977084138398971,0.7875258168860912,-0.4650098362557483,0.21770379214028834,0.22911741847451966,0.8016370690780735,no_normalization
12,4,1119,0.09008454772440122,0.724987642348478,0.8138815121152893,-0.036595626481362165,0.28998691565168905,-0.17055242952948726,0.7421741474472507,no_normalization
